company_id,company_name,sales_person_id,assigned_sales_person,company_size,industry,website_visits,demo_requested,source,response_time_hours,days_since_last_contact,converted
CMP-1018,Cyberdyne Systems,SP-04,Divya Reddy,Mid,Manufacturing,43,No,Paid,7.0,7,0
CMP-1019,Tyrell Corporation,SP-02,Priya Menon,Small,SaaS,9,Yes,Referral,7.8,24,1
CMP-1020,Aperture Science,SP-05,Karthik S,Small,Finance,4,No,Cold Outreach,34.4,3,0
CMP-1021,Sterling Cooper,SP-03,Arjun Nair,Small,Healthcare,10,Yes,Referral,43.3,4,1
CMP-1022,Dunder Mifflin,SP-03,Arjun Nair,Small,Healthcare,1,No,Referral,6.2,11,0
CMP-1023,Gekko & Co,SP-05,Karthik S,Mid,Finance,2,No,Cold Outreach,2.9,26,0
CMP-1024,Oscorp Industries,SP-03,Arjun Nair,Small,Healthcare,10,No,Cold Outreach,6.6,1,1
CMP-1025,Vandelay Industries,SP-03,Arjun Nair,Enterprise,Healthcare,6,No,Paid,54.6,22,0
CMP-1026,Bluth Company,SP-02,Priya Menon,Mid,SaaS,28,No,Organic,0.5,2,0
CMP-1027,Sloan & Partners,SP-02,Priya Menon,Small,SaaS,15,No,Paid,6.1,13,0
CMP-1028,Summit Solutions,SP-04,Divya Reddy,Small,Manufacturing,23,No,Referral,20.2,1,0
CMP-1029,Nexus Logistics,SP-02,Priya Menon,Small,SaaS,6,No,Cold Outreach,23.9,16,0
CMP-1030,Pinnacle Capital,SP-05,Karthik S,Mid,Finance,16,Yes,Organic,0.6,11,1
CMP-1031,Horizon Healthcare,SP-01,Rahul Kumar,Enterprise,Retail,6,Yes,Cold Outreach,63.3,6,1
CMP-1032,Cascade Retail,SP-01,Rahul Kumar,Enterprise,Retail,6,No,Organic,9.1,2,0
CMP-1033,Omni Consumer Products,SP-03,Arjun Nair,Enterprise,Healthcare,2,No,Referral,110.7,2,0
CMP-1034,Virtucon,SP-04,Divya Reddy,Enterprise,Manufacturing,15,No,Referral,8.3,17,0
CMP-1035,Ansel Manufacturing,SP-01,Rahul Kumar,Enterprise,Retail,9,No,Paid,25.2,13,1
CMP-1001,Davis and Sons,SP-05,Karthik S,Enterprise,Finance,2,No,Paid,0.9,7,0
CMP-1002,Blake and Sons,SP-03,Arjun Nair,Small,Healthcare,1,No,Organic,10.7,2,0
CMP-1003,Doyle Ltd,SP-02,Priya Menon,Mid,SaaS,2,Yes,Referral,18.2,8,1
CMP-1004,Hernandez Ltd,SP-01,Rahul Kumar,Mid,Retail,5,No,Paid,7.6,6,0
CMP-1005,Diaz-Frederick,SP-01,Rahul Kumar,Small,Retail,15,No,Cold Outreach,4.6,2,0
CMP-1006,CloudNine SaaS,SP-04,Divya Reddy,Mid,Manufacturing,4,No,Referral,32.1,9,0
CMP-1007,Acme Corp,SP-02,Priya Menon,Small,SaaS,18,Yes,Paid,3.0,1,1
CMP-1008,Globex Corporation,SP-04,Divya Reddy,Enterprise,Manufacturing,2,No,Paid,15.4,2,0
CMP-1009,Initech LLC,SP-03,Arjun Nair,Small,Healthcare,1,No,Referral,23.6,7,1
CMP-1010,Umbrella Corp,SP-02,Priya Menon,Mid,SaaS,13,Yes,Organic,21.2,29,1
CMP-1011,Veer Technologies,SP-03,Arjun Nair,Small,Healthcare,10,No,Paid,11.7,33,0
CMP-1012,Pied Piper,SP-02,Priya Menon,Small,SaaS,1,Yes,Organic,27.6,1,1
CMP-1013,Hooli Inc,SP-02,Priya Menon,Enterprise,SaaS,4,Yes,Cold Outreach,28.6,10,0
CMP-1014,Stark Industries,SP-04,Divya Reddy,Mid,Manufacturing,3,No,Organic,39.5,47,0
CMP-1015,Wayne Enterprises,SP-04,Divya Reddy,Small,Manufacturing,33,No,Paid,13.4,14,1
CMP-1016,Soylent Corp,SP-01,Rahul Kumar,Small,Retail,22,No,Paid,54.2,5,0
CMP-1017,Wonka Industries,SP-02,Priya Menon,Enterprise,SaaS,36,No,Paid,20.4,10,1
CMP-1018,Cyberdyne Systems,SP-05,Karthik S,Small,Finance,17,No,Referral,37.4,1,0
CMP-1019,Tyrell Corporation,SP-03,Arjun Nair,Small,Healthcare,27,No,Paid,3.0,2,1
CMP-1020,Aperture Science,SP-02,Priya Menon,Mid,SaaS,15,Yes,Organic,41.4,13,1
CMP-1021,Sterling Cooper,SP-01,Rahul Kumar,Small,Retail,6,No,Paid,70.6,43,0
CMP-1022,Dunder Mifflin,SP-02,Priya Menon,Small,SaaS,10,No,Referral,56.8,2,0
CMP-1023,Gekko & Co,SP-05,Karthik S,Small,Finance,2,Yes,Organic,25.1,14,1
CMP-1024,Oscorp Industries,SP-05,Karthik S,Enterprise,Finance,25,Yes,Organic,79.3,1,0
CMP-1025,Vandelay Industries,SP-01,Rahul Kumar,Small,Retail,60,Yes,Paid,19.4,35,1
CMP-1026,Bluth Company,SP-03,Arjun Nair,Mid,Healthcare,12,No,Paid,55.5,1,0
CMP-1027,Sloan & Partners,SP-01,Rahul Kumar,Enterprise,Retail,12,Yes,Paid,5.0,7,1
CMP-1028,Summit Solutions,SP-02,Priya Menon,Mid,SaaS,52,No,Cold Outreach,18.4,4,1
CMP-1029,Nexus Logistics,SP-02,Priya Menon,Mid,SaaS,21,No,Cold Outreach,31.0,10,0
CMP-1030,Pinnacle Capital,SP-01,Rahul Kumar,Enterprise,Retail,1,No,Organic,39.9,44,0
CMP-1031,Horizon Healthcare,SP-05,Karthik S,Mid,Finance,23,No,Cold Outreach,15.2,6,0
CMP-1032,Cascade Retail,SP-01,Rahul Kumar,Small,Retail,99,No,Cold Outreach,19.5,15,1
CMP-1033,Omni Consumer Products,SP-02,Priya Menon,Enterprise,SaaS,2,No,Paid,22.4,3,1
CMP-1034,Virtucon,SP-05,Karthik S,Mid,Finance,14,No,Organic,35.5,8,1
CMP-1035,Ansel Manufacturing,SP-03,Arjun Nair,Mid,Healthcare,7,Yes,Cold Outreach,0.7,15,0
CMP-1001,Davis and Sons,SP-02,Priya Menon,Mid,SaaS,1,No,Organic,21.4,5,0
CMP-1002,Blake and Sons,SP-05,Karthik S,Enterprise,Finance,19,No,Paid,23.4,20,1
CMP-1003,Doyle Ltd,SP-01,Rahul Kumar,Small,Retail,4,No,Paid,93.9,7,0
CMP-1004,Hernandez Ltd,SP-02,Priya Menon,Mid,SaaS,2,Yes,Organic,4.0,2,1
CMP-1005,Diaz-Frederick,SP-05,Karthik S,Small,Finance,8,No,Cold Outreach,4.5,3,0
CMP-1006,CloudNine SaaS,SP-02,Priya Menon,Small,SaaS,2,Yes,Organic,14.8,3,1
CMP-1007,Acme Corp,SP-03,Arjun Nair,Mid,Healthcare,20,No,Organic,2.0,21,1
CMP-1008,Globex Corporation,SP-02,Priya Menon,Small,SaaS,17,Yes,Cold Outreach,5.6,5,1
CMP-1009,Initech LLC,SP-05,Karthik S,Mid,Finance,17,Yes,Paid,7.0,13,0
CMP-1010,Umbrella Corp,SP-03,Arjun Nair,Mid,Healthcare,8,No,Organic,6.7,4,0
CMP-1011,Veer Technologies,SP-05,Karthik S,Small,Finance,5,Yes,Organic,53.1,10,1
CMP-1012,Pied Piper,SP-05,Karthik S,Mid,Finance,10,No,Organic,32.8,6,0
CMP-1013,Hooli Inc,SP-05,Karthik S,Small,Finance,11,No,Referral,103.3,10,0
CMP-1014,Stark Industries,SP-02,Priya Menon,Small,SaaS,3,Yes,Organic,8.1,2,0
CMP-1015,Wayne Enterprises,SP-03,Arjun Nair,Small,Healthcare,49,Yes,Paid,12.2,35,0
CMP-1016,Soylent Corp,SP-02,Priya Menon,Enterprise,SaaS,14,No,Organic,19.5,9,0
CMP-1017,Wonka Industries,SP-02,Priya Menon,Mid,SaaS,7,No,Paid,6.7,2,0
CMP-1018,Cyberdyne Systems,SP-03,Arjun Nair,Small,Healthcare,8,No,Organic,1.3,5,0
CMP-1019,Tyrell Corporation,SP-01,Rahul Kumar,Small,Retail,20,Yes,Paid,27.5,15,1
CMP-1020,Aperture Science,SP-05,Karthik S,Mid,Finance,32,No,Paid,80.5,2,1
CMP-1021,Sterling Cooper,SP-02,Priya Menon,Enterprise,SaaS,17,No,Organic,44.3,2,0
CMP-1022,Dunder Mifflin,SP-02,Priya Menon,Small,SaaS,21,No,Organic,17.8,5,1
CMP-1023,Gekko & Co,SP-04,Divya Reddy,Small,Manufacturing,6,No,Paid,8.6,14,0
CMP-1024,Oscorp Industries,SP-01,Rahul Kumar,Small,Retail,10,No,Paid,23.5,2,1
CMP-1025,Vandelay Industries,SP-05,Karthik S,Mid,Finance,19,No,Organic,18.3,23,1
CMP-1026,Bluth Company,SP-05,Karthik S,Small,Finance,17,Yes,Organic,20.2,15,0
CMP-1027,Sloan & Partners,SP-04,Divya Reddy,Small,Manufacturing,23,Yes,Organic,12.2,16,1
CMP-1028,Summit Solutions,SP-04,Divya Reddy,Small,Manufacturing,13,No,Referral,18.8,3,0
CMP-1029,Nexus Logistics,SP-01,Rahul Kumar,Small,Retail,7,No,Referral,70.6,2,0
CMP-1030,Pinnacle Capital,SP-03,Arjun Nair,Mid,Healthcare,25,No,Organic,20.0,12,1
CMP-1031,Horizon Healthcare,SP-02,Priya Menon,Mid,SaaS,12,No,Referral,32.0,28,1
CMP-1032,Cascade Retail,SP-02,Priya Menon,Mid,SaaS,22,Yes,Cold Outreach,60.9,21,1
CMP-1033,Omni Consumer Products,SP-05,Karthik S,Mid,Finance,5,No,Organic,0.5,5,0
CMP-1034,Virtucon,SP-01,Rahul Kumar,Mid,Retail,6,No,Paid,14.4,3,0
CMP-1035,Ansel Manufacturing,SP-02,Priya Menon,Small,SaaS,7,No,Paid,10.8,9,0
CMP-1001,Davis and Sons,SP-03,Arjun Nair,Small,Healthcare,39,Yes,Organic,12.9,1,0
CMP-1002,Blake and Sons,SP-03,Arjun Nair,Mid,Healthcare,17,Yes,Organic,54.8,3,1
CMP-1003,Doyle Ltd,SP-05,Karthik S,Small,Finance,1,No,Referral,14.5,8,0
CMP-1004,Hernandez Ltd,SP-03,Arjun Nair,Small,Healthcare,3,No,Organic,70.1,5,0
CMP-1005,Diaz-Frederick,SP-05,Karthik S,Mid,Finance,3,No,Organic,25.8,1,0
CMP-1006,CloudNine SaaS,SP-03,Arjun Nair,Small,Healthcare,2,No,Organic,4.7,11,0
CMP-1007,Acme Corp,SP-02,Priya Menon,Small,SaaS,24,No,Referral,12.1,12,0
CMP-1008,Globex Corporation,SP-01,Rahul Kumar,Small,Retail,2,Yes,Organic,0.6,3,1
CMP-1009,Initech LLC,SP-01,Rahul Kumar,Small,Retail,6,Yes,Cold Outreach,11.5,9,0
CMP-1010,Umbrella Corp,SP-05,Karthik S,Mid,Finance,7,Yes,Referral,71.2,15,1
CMP-1011,Veer Technologies,SP-05,Karthik S,Enterprise,Finance,20,No,Cold Outreach,0.5,4,1
CMP-1012,Pied Piper,SP-02,Priya Menon,Mid,SaaS,22,No,Organic,17.9,2,0
CMP-1013,Hooli Inc,SP-01,Rahul Kumar,Small,Retail,11,Yes,Organic,19.4,11,0
CMP-1014,Stark Industries,SP-02,Priya Menon,Small,SaaS,28,No,Organic,21.8,10,1
CMP-1015,Wayne Enterprises,SP-01,Rahul Kumar,Small,Retail,6,No,Paid,1.2,2,0
CMP-1016,Soylent Corp,SP-03,Arjun Nair,Small,Healthcare,6,Yes,Organic,10.5,13,1
CMP-1017,Wonka Industries,SP-05,Karthik S,Mid,Finance,34,No,Referral,5.8,1,1
CMP-1018,Cyberdyne Systems,SP-02,Priya Menon,Mid,SaaS,11,No,Paid,35.4,2,0
CMP-1019,Tyrell Corporation,SP-05,Karthik S,Mid,Finance,7,Yes,Referral,41.0,17,1
CMP-1020,Aperture Science,SP-03,Arjun Nair,Small,Healthcare,2,No,Paid,3.5,31,0
CMP-1021,Sterling Cooper,SP-03,Arjun Nair,Small,Healthcare,16,No,Cold Outreach,25.8,12,0
CMP-1022,Dunder Mifflin,SP-05,Karthik S,Small,Finance,53,No,Organic,1.0,13,1
CMP-1023,Gekko & Co,SP-03,Arjun Nair,Small,Healthcare,1,No,Cold Outreach,8.5,26,0
CMP-1024,Oscorp Industries,SP-05,Karthik S,Enterprise,Finance,23,No,Cold Outreach,42.4,1,0
CMP-1025,Vandelay Industries,SP-02,Priya Menon,Small,SaaS,15,No,Organic,31.0,1,0
CMP-1026,Bluth Company,SP-04,Divya Reddy,Mid,Manufacturing,12,No,Paid,23.0,3,0
CMP-1027,Sloan & Partners,SP-02,Priya Menon,Enterprise,SaaS,10,No,Cold Outreach,38.5,62,0
CMP-1028,Summit Solutions,SP-05,Karthik S,Mid,Finance,12,No,Paid,99.4,15,0
CMP-1029,Nexus Logistics,SP-04,Divya Reddy,Small,Manufacturing,2,No,Organic,8.1,4,0
CMP-1030,Pinnacle Capital,SP-02,Priya Menon,Small,SaaS,7,No,Cold Outreach,27.3,3,1
CMP-1031,Horizon Healthcare,SP-02,Priya Menon,Mid,SaaS,26,No,Paid,15.1,10,0
CMP-1032,Cascade Retail,SP-02,Priya Menon,Enterprise,SaaS,13,No,Cold Outreach,17.3,3,0
CMP-1033,Omni Consumer Products,SP-02,Priya Menon,Small,SaaS,6,Yes,Referral,83.5,22,0
CMP-1034,Virtucon,SP-02,Priya Menon,Enterprise,SaaS,18,No,Paid,4.0,17,0
CMP-1035,Ansel Manufacturing,SP-03,Arjun Nair,Small,Healthcare,11,Yes,Referral,50.4,4,1
CMP-1001,Davis and Sons,SP-01,Rahul Kumar,Enterprise,Retail,20,No,Cold Outreach,19.2,1,0
CMP-1002,Blake and Sons,SP-02,Priya Menon,Small,SaaS,9,Yes,Referral,6.0,12,1
CMP-1003,Doyle Ltd,SP-05,Karthik S,Enterprise,Finance,11,No,Paid,10.3,12,1
CMP-1004,Hernandez Ltd,SP-01,Rahul Kumar,Small,Retail,13,No,Referral,48.5,13,1
CMP-1005,Diaz-Frederick,SP-03,Arjun Nair,Mid,Healthcare,17,Yes,Referral,51.1,21,1
CMP-1006,CloudNine SaaS,SP-02,Priya Menon,Enterprise,SaaS,17,Yes,Paid,40.9,18,1
CMP-1007,Acme Corp,SP-02,Priya Menon,Small,SaaS,48,No,Referral,7.2,11,1
CMP-1008,Globex Corporation,SP-02,Priya Menon,Mid,SaaS,10,No,Referral,10.0,11,1
CMP-1009,Initech LLC,SP-01,Rahul Kumar,Small,Retail,1,No,Referral,29.6,1,0
CMP-1010,Umbrella Corp,SP-03,Arjun Nair,Small,Healthcare,25,No,Organic,83.3,14,0
CMP-1011,Veer Technologies,SP-02,Priya Menon,Mid,SaaS,5,No,Organic,35.3,12,0
CMP-1012,Pied Piper,SP-01,Rahul Kumar,Small,Retail,8,Yes,Paid,38.0,12,0
CMP-1013,Hooli Inc,SP-03,Arjun Nair,Small,Healthcare,4,No,Referral,3.9,6,1
CMP-1014,Stark Industries,SP-03,Arjun Nair,Small,Healthcare,4,No,Paid,12.6,23,0
CMP-1015,Wayne Enterprises,SP-02,Priya Menon,Small,SaaS,6,No,Referral,15.4,35,0
CMP-1016,Soylent Corp,SP-04,Divya Reddy,Enterprise,Manufacturing,23,No,Referral,23.6,2,1
CMP-1017,Wonka Industries,SP-03,Arjun Nair,Enterprise,Healthcare,8,Yes,Referral,3.2,12,1
CMP-1018,Cyberdyne Systems,SP-05,Karthik S,Small,Finance,11,Yes,Organic,38.3,4,1
CMP-1019,Tyrell Corporation,SP-02,Priya Menon,Small,SaaS,8,No,Paid,8.3,12,1
CMP-1020,Aperture Science,SP-02,Priya Menon,Mid,SaaS,2,Yes,Paid,103.6,2,1
CMP-1021,Sterling Cooper,SP-04,Divya Reddy,Mid,Manufacturing,1,No,Referral,17.5,1,0
CMP-1022,Dunder Mifflin,SP-02,Priya Menon,Small,SaaS,2,No,Paid,28.1,17,0
CMP-1023,Gekko & Co,SP-02,Priya Menon,Small,SaaS,15,Yes,Referral,66.1,1,1
CMP-1024,Oscorp Industries,SP-01,Rahul Kumar,Mid,Retail,20,No,Referral,40.5,1,1
CMP-1025,Vandelay Industries,SP-04,Divya Reddy,Mid,Manufacturing,13,No,Paid,31.6,1,0
CMP-1026,Bluth Company,SP-02,Priya Menon,Small,SaaS,3,No,Cold Outreach,9.9,3,0
CMP-1027,Sloan & Partners,SP-05,Karthik S,Mid,Finance,16,Yes,Referral,134.6,37,1
CMP-1028,Summit Solutions,SP-03,Arjun Nair,Small,Healthcare,1,Yes,Organic,14.9,21,0
CMP-1029,Nexus Logistics,SP-05,Karthik S,Mid,Finance,6,No,Paid,1.0,21,0
CMP-1030,Pinnacle Capital,SP-04,Divya Reddy,Small,Manufacturing,25,No,Paid,13.1,4,0
CMP-1031,Horizon Healthcare,SP-02,Priya Menon,Enterprise,SaaS,12,No,Referral,3.4,13,0
CMP-1032,Cascade Retail,SP-02,Priya Menon,Small,SaaS,3,No,Cold Outreach,16.3,3,1
CMP-1033,Omni Consumer Products,SP-03,Arjun Nair,Small,Healthcare,11,Yes,Paid,11.9,35,0
CMP-1034,Virtucon,SP-05,Karthik S,Mid,Finance,2,No,Referral,14.5,3,0
CMP-1035,Ansel Manufacturing,SP-03,Arjun Nair,Small,Healthcare,22,No,Paid,6.9,10,0
CMP-1001,Davis and Sons,SP-02,Priya Menon,Small,SaaS,16,No,Organic,15.4,19,1
CMP-1002,Blake and Sons,SP-01,Rahul Kumar,Mid,Retail,2,Yes,Organic,1.4,8,0
CMP-1003,Doyle Ltd,SP-02,Priya Menon,Small,SaaS,33,No,Paid,17.0,1,0
CMP-1004,Hernandez Ltd,SP-01,Rahul Kumar,Enterprise,Retail,37,No,Organic,48.6,7,0
CMP-1005,Diaz-Frederick,SP-03,Arjun Nair,Mid,Healthcare,1,No,Organic,29.3,3,0
CMP-1006,CloudNine SaaS,SP-02,Priya Menon,Enterprise,SaaS,8,No,Referral,4.7,12,1
CMP-1007,Acme Corp,SP-03,Arjun Nair,Enterprise,Healthcare,12,No,Paid,20.3,1,1
CMP-1008,Globex Corporation,SP-03,Arjun Nair,Mid,Healthcare,13,No,Organic,25.3,2,0
CMP-1009,Initech LLC,SP-02,Priya Menon,Enterprise,SaaS,7,No,Cold Outreach,36.6,9,1
CMP-1010,Umbrella Corp,SP-05,Karthik S,Enterprise,Finance,14,No,Paid,34.5,16,0
CMP-1011,Veer Technologies,SP-02,Priya Menon,Enterprise,SaaS,1,No,Paid,11.0,6,1
CMP-1012,Pied Piper,SP-05,Karthik S,Small,Finance,6,Yes,Organic,1.8,10,1
CMP-1013,Hooli Inc,SP-05,Karthik S,Mid,Finance,24,No,Paid,15.7,1,0
CMP-1014,Stark Industries,SP-05,Karthik S,Small,Finance,10,No,Referral,34.7,17,1
CMP-1015,Wayne Enterprises,SP-02,Priya Menon,Enterprise,SaaS,1,No,Organic,54.8,3,1
CMP-1016,Soylent Corp,SP-01,Rahul Kumar,Small,Retail,2,No,Paid,7.1,4,0
CMP-1017,Wonka Industries,SP-03,Arjun Nair,Enterprise,Healthcare,12,No,Paid,7.6,6,0
CMP-1018,Cyberdyne Systems,SP-03,Arjun Nair,Small,Healthcare,9,No,Organic,2.7,9,0
CMP-1019,Tyrell Corporation,SP-05,Karthik S,Enterprise,Finance,10,Yes,Cold Outreach,24.1,31,1
CMP-1020,Aperture Science,SP-01,Rahul Kumar,Enterprise,Retail,3,No,Organic,12.7,19,1
CMP-1021,Sterling Cooper,SP-02,Priya Menon,Small,SaaS,4,No,Referral,13.2,12,0
CMP-1022,Dunder Mifflin,SP-05,Karthik S,Mid,Finance,3,No,Referral,47.7,3,0
CMP-1023,Gekko & Co,SP-03,Arjun Nair,Small,Healthcare,10,Yes,Referral,11.9,10,1
CMP-1024,Oscorp Industries,SP-02,Priya Menon,Enterprise,SaaS,7,No,Referral,30.3,12,1
CMP-1025,Vandelay Industries,SP-02,Priya Menon,Small,SaaS,11,Yes,Referral,2.0,1,0
CMP-1026,Bluth Company,SP-05,Karthik S,Small,Finance,6,Yes,Organic,17.6,1,0
CMP-1027,Sloan & Partners,SP-03,Arjun Nair,Small,Healthcare,13,No,Cold Outreach,9.4,5,0
CMP-1028,Summit Solutions,SP-03,Arjun Nair,Enterprise,Healthcare,16,No,Referral,1.5,9,0
CMP-1029,Nexus Logistics,SP-03,Arjun Nair,Small,Healthcare,10,Yes,Organic,14.4,15,1
CMP-1030,Pinnacle Capital,SP-04,Divya Reddy,Mid,Manufacturing,4,No,Cold Outreach,4.0,49,0
CMP-1031,Horizon Healthcare,SP-04,Divya Reddy,Mid,Manufacturing,12,Yes,Paid,33.8,2,0
CMP-1032,Cascade Retail,SP-04,Divya Reddy,Mid,Manufacturing,5,Yes,Organic,10.7,1,0
CMP-1033,Omni Consumer Products,SP-05,Karthik S,Mid,Finance,8,No,Paid,17.4,26,0
CMP-1034,Virtucon,SP-01,Rahul Kumar,Enterprise,Retail,33,Yes,Organic,40.8,5,0
CMP-1035,Ansel Manufacturing,SP-04,Divya Reddy,Enterprise,Manufacturing,5,Yes,Referral,12.4,2,1
CMP-1001,Davis and Sons,SP-01,Rahul Kumar,Small,Retail,21,Yes,Referral,47.5,26,1
CMP-1002,Blake and Sons,SP-04,Divya Reddy,Mid,Manufacturing,9,No,Organic,3.8,5,0
CMP-1003,Doyle Ltd,SP-02,Priya Menon,Small,SaaS,10,No,Cold Outreach,13.6,4,0
CMP-1004,Hernandez Ltd,SP-02,Priya Menon,Small,SaaS,3,No,Referral,25.2,2,0
CMP-1005,Diaz-Frederick,SP-05,Karthik S,Mid,Finance,64,Yes,Organic,28.5,42,1
CMP-1006,CloudNine SaaS,SP-02,Priya Menon,Small,SaaS,2,No,Paid,1.5,8,1
CMP-1007,Acme Corp,SP-03,Arjun Nair,Enterprise,Healthcare,12,No,Paid,13.3,2,1
CMP-1008,Globex Corporation,SP-02,Priya Menon,Small,SaaS,7,No,Paid,31.7,15,0
CMP-1009,Initech LLC,SP-05,Karthik S,Small,Finance,4,No,Organic,3.5,8,0
CMP-1010,Umbrella Corp,SP-02,Priya Menon,Small,SaaS,20,No,Cold Outreach,16.1,2,0
CMP-1011,Veer Technologies,SP-04,Divya Reddy,Mid,Manufacturing,9,Yes,Organic,9.4,14,1
CMP-1012,Pied Piper,SP-05,Karthik S,Small,Finance,19,No,Paid,74.6,16,0
CMP-1013,Hooli Inc,SP-05,Karthik S,Mid,Finance,23,Yes,Organic,55.7,7,1
CMP-1014,Stark Industries,SP-01,Rahul Kumar,Mid,Retail,12,Yes,Referral,17.5,2,1
CMP-1015,Wayne Enterprises,SP-03,Arjun Nair,Mid,Healthcare,2,No,Organic,1.8,1,0
CMP-1016,Soylent Corp,SP-04,Divya Reddy,Enterprise,Manufacturing,5,No,Paid,35.8,11,0
CMP-1017,Wonka Industries,SP-02,Priya Menon,Small,SaaS,18,Yes,Referral,0.5,1,0
CMP-1018,Cyberdyne Systems,SP-04,Divya Reddy,Small,Manufacturing,6,Yes,Referral,3.1,10,0
CMP-1019,Tyrell Corporation,SP-03,Arjun Nair,Mid,Healthcare,42,No,Organic,8.3,40,0
CMP-1020,Aperture Science,SP-04,Divya Reddy,Mid,Manufacturing,13,Yes,Cold Outreach,9.9,27,0
CMP-1021,Sterling Cooper,SP-05,Karthik S,Small,Finance,12,No,Paid,6.6,2,0
CMP-1022,Dunder Mifflin,SP-03,Arjun Nair,Enterprise,Healthcare,21,No,Organic,45.0,26,0
CMP-1023,Gekko & Co,SP-05,Karthik S,Mid,Finance,16,No,Cold Outreach,25.6,2,0
CMP-1024,Oscorp Industries,SP-01,Rahul Kumar,Enterprise,Retail,3,Yes,Organic,31.1,18,1
CMP-1025,Vandelay Industries,SP-04,Divya Reddy,Mid,Manufacturing,10,No,Referral,17.0,4,0
CMP-1026,Bluth Company,SP-01,Rahul Kumar,Mid,Retail,18,Yes,Referral,14.9,1,1
CMP-1027,Sloan & Partners,SP-01,Rahul Kumar,Mid,Retail,7,No,Organic,5.5,9,0
CMP-1028,Summit Solutions,SP-02,Priya Menon,Mid,SaaS,19,No,Paid,0.5,15,0
CMP-1029,Nexus Logistics,SP-02,Priya Menon,Mid,SaaS,6,No,Cold Outreach,3.9,4,1
CMP-1030,Pinnacle Capital,SP-05,Karthik S,Enterprise,Finance,16,No,Paid,21.6,5,0
CMP-1031,Horizon Healthcare,SP-02,Priya Menon,Mid,SaaS,6,No,Referral,2.3,9,0
CMP-1032,Cascade Retail,SP-02,Priya Menon,Mid,SaaS,10,No,Referral,22.2,12,1
CMP-1033,Omni Consumer Products,SP-04,Divya Reddy,Small,Manufacturing,1,Yes,Paid,9.8,16,1
CMP-1034,Virtucon,SP-03,Arjun Nair,Mid,Healthcare,2,No,Paid,13.7,1,0
CMP-1035,Ansel Manufacturing,SP-04,Divya Reddy,Mid,Manufacturing,33,No,Cold Outreach,13.1,11,1
CMP-1001,Davis and Sons,SP-05,Karthik S,Small,Finance,6,No,Cold Outreach,21.3,3,0
CMP-1002,Blake and Sons,SP-02,Priya Menon,Small,SaaS,22,Yes,Organic,17.5,4,0
CMP-1003,Doyle Ltd,SP-05,Karthik S,Small,Finance,23,Yes,Cold Outreach,38.9,7,1
CMP-1004,Hernandez Ltd,SP-02,Priya Menon,Small,SaaS,9,No,Referral,31.4,15,0
CMP-1005,Diaz-Frederick,SP-02,Priya Menon,Mid,SaaS,13,No,Referral,1.7,1,1
CMP-1006,CloudNine SaaS,SP-02,Priya Menon,Small,SaaS,4,Yes,Cold Outreach,34.2,6,1
CMP-1007,Acme Corp,SP-05,Karthik S,Small,Finance,1,No,Organic,3.6,8,0
CMP-1008,Globex Corporation,SP-01,Rahul Kumar,Small,Retail,14,No,Organic,19.7,28,0
CMP-1009,Initech LLC,SP-02,Priya Menon,Small,SaaS,48,Yes,Referral,25.5,3,1
CMP-1010,Umbrella Corp,SP-01,Rahul Kumar,Mid,Retail,6,Yes,Referral,3.9,3,1
